Species,Weight,Length1,Length2,Length3,Height,Width
Bream,242.0,23.2,25.4,30.0,11.52,4.02
Bream,290.0,24.0,26.3,31.2,12.48,4.3056
Bream,340.0,23.9,26.5,31.1,12.3778,4.6961
Bream,363.0,26.3,29.0,33.5,12.73,4.4555
Bream,430.0,26.5,29.0,34.0,12.444,5.134
Bream,450.0,26.8,29.7,34.7,13.6024,4.9274
Bream,500.0,26.8,29.7,34.5,14.1795,5.2785
Bream,390.0,27.6,30.0,35.0,12.67,4.69
Bream,450.0,27.6,30.0,35.1,14.0049,4.8438
Bream,500.0,28.5,30.7,36.2,14.2266,4.9594
Bream,475.0,28.4,31.0,36.2,14.2628,5.1042
Bream,500.0,28.7,31.0,36.2,14.3714,4.8146
Bream,500.0,29.1,31.5,36.4,13.7592,4.368
Bream,340.0,29.5,32.0,37.3,13.9129,5.0728
Bream,600.0,29.4,32.0,37.2,14.9544,5.1708
Bream,600.0,29.4,32.0,37.2,15.438,5.58
Bream,700.0,30.4,33.0,38.3,14.8604,5.2854
Bream,700.0,30.4,33.0,38.5,14.937999999999999,5.1975
Bream,610.0,30.9,33.5,38.6,15.633,5.1338
Bream,650.0,31.0,33.5,38.7,14.4738,5.7276
